"","Var1","Var2","Var3","Freq"
"1","1","1","1",1
"2","2","1","1",67
"3","3","1","1",172
"4","4","1","1",25
"5","5","1","1",0
"6","6","1","1",0
"7","7","1","1",0
"8","8","1","1",0
"9","9","1","1",0
"10","10","1","1",0
"11","1","2","1",0
"12","2","2","1",7
"13","3","2","1",137
"14","4","2","1",327
"15","5","2","1",32
"16","6","2","1",0
"17","7","2","1",0
"18","8","2","1",0
"19","9","2","1",0
"20","10","2","1",0
"21","1","3","1",0
"22","2","3","1",0
"23","3","3","1",20
"24","4","3","1",212
"25","5","3","1",502
"26","6","3","1",36
"27","7","3","1",0
"28","8","3","1",0
"29","9","3","1",0
"30","10","3","1",0
"31","1","4","1",0
"32","2","4","1",0
"33","3","4","1",0
"34","4","4","1",19
"35","5","4","1",220
"36","6","4","1",744
"37","7","4","1",39
"38","8","4","1",0
"39","9","4","1",0
"40","10","4","1",0
"41","1","5","1",0
"42","2","5","1",0
"43","3","5","1",0
"44","4","5","1",0
"45","5","5","1",0
"46","6","5","1",316
"47","7","5","1",634
"48","8","5","1",26
"49","9","5","1",0
"50","10","5","1",0
"51","1","6","1",0
"52","2","6","1",0
"53","3","6","1",0
"54","4","6","1",0
"55","5","6","1",0
"56","6","6","1",0
"57","7","6","1",118
"58","8","6","1",84
"59","9","6","1",2
"60","10","6","1",0
"61","1","7","1",0
"62","2","7","1",0
"63","3","7","1",0
"64","4","7","1",0
"65","5","7","1",0
"66","6","7","1",0
"67","7","7","1",4
"68","8","7","1",11
"69","9","7","1",3
"70","10","7","1",0
"71","1","8","1",0
"72","2","8","1",0
"73","3","8","1",0
"74","4","8","1",0
"75","5","8","1",0
"76","6","8","1",0
"77","7","8","1",0
"78","8","8","1",0
"79","9","8","1",0
"80","10","8","1",0
"81","1","9","1",0
"82","2","9","1",0
"83","3","9","1",0
"84","4","9","1",0
"85","5","9","1",0
"86","6","9","1",0
"87","7","9","1",0
"88","8","9","1",0
"89","9","9","1",0
"90","10","9","1",0
"91","1","10","1",0
"92","2","10","1",0
"93","3","10","1",0
"94","4","10","1",0
"95","5","10","1",0
"96","6","10","1",0
"97","7","10","1",0
"98","8","10","1",0
"99","9","10","1",0
"100","10","10","1",0
"101","1","11","1",0
"102","2","11","1",0
"103","3","11","1",0
"104","4","11","1",0
"105","5","11","1",0
"106","6","11","1",0
"107","7","11","1",0
"108","8","11","1",0
"109","9","11","1",0
"110","10","11","1",0
"111","1","12","1",0
"112","2","12","1",0
"113","3","12","1",0
"114","4","12","1",0
"115","5","12","1",0
"116","6","12","1",0
"117","7","12","1",0
"118","8","12","1",0
"119","9","12","1",0
"120","10","12","1",0
