"","Var1","Var2","Var3","Freq"
"121","1","1","2",0
"122","2","1","2",8
"123","3","1","2",2
"124","4","1","2",1
"125","5","1","2",0
"126","6","1","2",0
"127","7","1","2",0
"128","8","1","2",0
"129","9","1","2",0
"130","10","1","2",0
"131","1","2","2",0
"132","2","2","2",0
"133","3","2","2",16
"134","4","2","2",55
"135","5","2","2",13
"136","6","2","2",0
"137","7","2","2",0
"138","8","2","2",0
"139","9","2","2",0
"140","10","2","2",0
"141","1","3","2",0
"142","2","3","2",0
"143","3","3","2",4
"144","4","3","2",144
"145","5","3","2",241
"146","6","3","2",18
"147","7","3","2",0
"148","8","3","2",0
"149","9","3","2",0
"150","10","3","2",0
"151","1","4","2",0
"152","2","4","2",0
"153","3","4","2",0
"154","4","4","2",39
"155","5","4","2",416
"156","6","4","2",721
"157","7","4","2",34
"158","8","4","2",0
"159","9","4","2",0
"160","10","4","2",0
"161","1","5","2",0
"162","2","5","2",0
"163","3","5","2",0
"164","4","5","2",0
"165","5","5","2",13
"166","6","5","2",872
"167","7","5","2",2465
"168","8","5","2",50
"169","9","5","2",0
"170","10","5","2",0
"171","1","6","2",0
"172","2","6","2",0
"173","3","6","2",0
"174","4","6","2",0
"175","5","6","2",0
"176","6","6","2",4
"177","7","6","2",2002
"178","8","6","2",1720
"179","9","6","2",32
"180","10","6","2",0
"181","1","7","2",0
"182","2","7","2",0
"183","3","7","2",0
"184","4","7","2",0
"185","5","7","2",0
"186","6","7","2",0
"187","7","7","2",5
"188","8","7","2",303
"189","9","7","2",81
"190","10","7","2",0
"191","1","8","2",0
"192","2","8","2",0
"193","3","8","2",0
"194","4","8","2",0
"195","5","8","2",0
"196","6","8","2",0
"197","7","8","2",0
"198","8","8","2",4
"199","9","8","2",4
"200","10","8","2",0
"201","1","9","2",0
"202","2","9","2",0
"203","3","9","2",0
"204","4","9","2",0
"205","5","9","2",0
"206","6","9","2",0
"207","7","9","2",0
"208","8","9","2",0
"209","9","9","2",0
"210","10","9","2",0
"211","1","10","2",0
"212","2","10","2",0
"213","3","10","2",0
"214","4","10","2",0
"215","5","10","2",0
"216","6","10","2",0
"217","7","10","2",0
"218","8","10","2",0
"219","9","10","2",0
"220","10","10","2",0
"221","1","11","2",0
"222","2","11","2",0
"223","3","11","2",0
"224","4","11","2",0
"225","5","11","2",0
"226","6","11","2",0
"227","7","11","2",0
"228","8","11","2",0
"229","9","11","2",0
"230","10","11","2",0
"231","1","12","2",0
"232","2","12","2",0
"233","3","12","2",0
"234","4","12","2",0
"235","5","12","2",0
"236","6","12","2",0
"237","7","12","2",0
"238","8","12","2",0
"239","9","12","2",0
"240","10","12","2",0
"241","1","1","3",0
"242","2","1","3",0
"243","3","1","3",0
"244","4","1","3",0
"245","5","1","3",0
"246","6","1","3",0
"247","7","1","3",0
"248","8","1","3",0
"249","9","1","3",0
"250","10","1","3",0
"251","1","2","3",0
"252","2","2","3",0
"253","3","2","3",1
"254","4","2","3",0
"255","5","2","3",2
"256","6","2","3",0
"257","7","2","3",0
"258","8","2","3",0
"259","9","2","3",0
"260","10","2","3",0
"261","1","3","3",0
"262","2","3","3",0
"263","3","3","3",0
"264","4","3","3",6
"265","5","3","3",9
"266","6","3","3",3
"267","7","3","3",0
"268","8","3","3",0
"269","9","3","3",0
"270","10","3","3",0
"271","1","4","3",0
"272","2","4","3",0
"273","3","4","3",0
"274","4","4","3",3
"275","5","4","3",83
"276","6","4","3",79
"277","7","4","3",6
"278","8","4","3",0
"279","9","4","3",0
"280","10","4","3",0
"281","1","5","3",0
"282","2","5","3",0
"283","3","5","3",0
"284","4","5","3",0
"285","5","5","3",76
"286","6","5","3",293
"287","7","5","3",331
"288","8","5","3",8
"289","9","5","3",0
"290","10","5","3",0
"291","1","6","3",0
"292","2","6","3",0
"293","3","6","3",0
"294","4","6","3",0
"295","5","6","3",0
"296","6","6","3",24
"297","7","6","3",1395
"298","8","6","3",1988
"299","9","6","3",8
"300","10","6","3",0
"301","1","7","3",0
"302","2","7","3",0
"303","3","7","3",0
"304","4","7","3",0
"305","5","7","3",0
"306","6","7","3",0
"307","7","7","3",62
"308","8","7","3",3191
"309","9","7","3",922
"310","10","7","3",1
"311","1","8","3",0
"312","2","8","3",0
"313","3","8","3",0
"314","4","8","3",0
"315","5","8","3",0
"316","6","8","3",0
"317","7","8","3",1
"318","8","8","3",62
"319","9","8","3",372
"320","10","8","3",10
"321","1","9","3",0
"322","2","9","3",0
"323","3","9","3",0
"324","4","9","3",0
"325","5","9","3",0
"326","6","9","3",0
"327","7","9","3",0
"328","8","9","3",1
"329","9","9","3",10
"330","10","9","3",1
"331","1","10","3",0
"332","2","10","3",0
"333","3","10","3",0
"334","4","10","3",0
"335","5","10","3",0
"336","6","10","3",0
"337","7","10","3",0
"338","8","10","3",0
"339","9","10","3",0
"340","10","10","3",0
"341","1","11","3",0
"342","2","11","3",0
"343","3","11","3",0
"344","4","11","3",0
"345","5","11","3",0
"346","6","11","3",0
"347","7","11","3",0
"348","8","11","3",0
"349","9","11","3",0
"350","10","11","3",0
"351","1","12","3",0
"352","2","12","3",0
"353","3","12","3",0
"354","4","12","3",0
"355","5","12","3",0
"356","6","12","3",0
"357","7","12","3",0
"358","8","12","3",0
"359","9","12","3",0
"360","10","12","3",0
"361","1","1","4",0
"362","2","1","4",0
"363","3","1","4",0
"364","4","1","4",0
"365","5","1","4",0
"366","6","1","4",0
"367","7","1","4",0
"368","8","1","4",0
"369","9","1","4",0
"370","10","1","4",0
"371","1","2","4",0
"372","2","2","4",0
"373","3","2","4",0
"374","4","2","4",0
"375","5","2","4",0
"376","6","2","4",0
"377","7","2","4",0
"378","8","2","4",0
"379","9","2","4",0
"380","10","2","4",0
"381","1","3","4",0
"382","2","3","4",0
"383","3","3","4",0
"384","4","3","4",0
"385","5","3","4",1
"386","6","3","4",0
"387","7","3","4",0
"388","8","3","4",0
"389","9","3","4",0
"390","10","3","4",0
"391","1","4","4",0
"392","2","4","4",0
"393","3","4","4",0
"394","4","4","4",0
"395","5","4","4",5
"396","6","4","4",5
"397","7","4","4",0
"398","8","4","4",0
"399","9","4","4",0
"400","10","4","4",0
"401","1","5","4",0
"402","2","5","4",0
"403","3","5","4",0
"404","4","5","4",0
"405","5","5","4",36
"406","6","5","4",68
"407","7","5","4",16
"408","8","5","4",1
"409","9","5","4",0
"410","10","5","4",0
"411","1","6","4",0
"412","2","6","4",0
"413","3","6","4",0
"414","4","6","4",0
"415","5","6","4",1
"416","6","6","4",69
"417","7","6","4",141
"418","8","6","4",91
"419","9","6","4",1
"420","10","6","4",0
"421","1","7","4",0
"422","2","7","4",0
"423","3","7","4",0
"424","4","7","4",0
"425","5","7","4",0
"426","6","7","4",1
"427","7","7","4",54
"428","8","7","4",1405
"429","9","7","4",710
"430","10","7","4",0
"431","1","8","4",0
"432","2","8","4",0
"433","3","8","4",0
"434","4","8","4",0
"435","5","8","4",0
"436","6","8","4",0
"437","7","8","4",5
"438","8","8","4",271
"439","9","8","4",2489
"440","10","8","4",98
"441","1","9","4",0
"442","2","9","4",0
"443","3","9","4",0
"444","4","9","4",0
"445","5","9","4",0
"446","6","9","4",0
"447","7","9","4",0
"448","8","9","4",8
"449","9","9","4",224
"450","10","9","4",107
"451","1","10","4",0
"452","2","10","4",0
"453","3","10","4",0
"454","4","10","4",0
"455","5","10","4",0
"456","6","10","4",0
"457","7","10","4",0
"458","8","10","4",0
"459","9","10","4",2
"460","10","10","4",0
"461","1","11","4",0
"462","2","11","4",0
"463","3","11","4",0
"464","4","11","4",0
"465","5","11","4",0
"466","6","11","4",0
"467","7","11","4",0
"468","8","11","4",0
"469","9","11","4",0
"470","10","11","4",0
"471","1","12","4",0
"472","2","12","4",0
"473","3","12","4",0
"474","4","12","4",0
"475","5","12","4",0
"476","6","12","4",0
"477","7","12","4",0
"478","8","12","4",0
"479","9","12","4",0
"480","10","12","4",0
"481","1","1","5",0
"482","2","1","5",0
"483","3","1","5",0
"484","4","1","5",0
"485","5","1","5",0
"486","6","1","5",0
"487","7","1","5",0
"488","8","1","5",0
"489","9","1","5",0
"490","10","1","5",0
"491","1","2","5",0
"492","2","2","5",0
"493","3","2","5",0
"494","4","2","5",0
"495","5","2","5",0
"496","6","2","5",0
"497","7","2","5",0
"498","8","2","5",0
"499","9","2","5",0
"500","10","2","5",0
"501","1","3","5",0
"502","2","3","5",0
"503","3","3","5",0
"504","4","3","5",0
"505","5","3","5",0
"506","6","3","5",1
"507","7","3","5",0
"508","8","3","5",0
"509","9","3","5",0
"510","10","3","5",0
"511","1","4","5",0
"512","2","4","5",0
"513","3","4","5",0
"514","4","4","5",0
"515","5","4","5",0
"516","6","4","5",0
"517","7","4","5",0
"518","8","4","5",0
"519","9","4","5",0
"520","10","4","5",0
"521","1","5","5",0
"522","2","5","5",0
"523","3","5","5",0
"524","4","5","5",0
"525","5","5","5",0
"526","6","5","5",3
"527","7","5","5",2
"528","8","5","5",0
"529","9","5","5",0
"530","10","5","5",0
"531","1","6","5",0
"532","2","6","5",0
"533","3","6","5",0
"534","4","6","5",0
"535","5","6","5",0
"536","6","6","5",55
"537","7","6","5",20
"538","8","6","5",4
"539","9","6","5",0
"540","10","6","5",0
"541","1","7","5",0
"542","2","7","5",0
"543","3","7","5",0
"544","4","7","5",0
"545","5","7","5",0
"546","6","7","5",7
"547","7","7","5",53
"548","8","7","5",84
"549","9","7","5",28
"550","10","7","5",0
"551","1","8","5",0
"552","2","8","5",0
"553","3","8","5",0
"554","4","8","5",0
"555","5","8","5",0
"556","6","8","5",0
"557","7","8","5",3
"558","8","8","5",107
"559","9","8","5",860
"560","10","8","5",86
"561","1","9","5",0
"562","2","9","5",0
"563","3","9","5",0
"564","4","9","5",0
"565","5","9","5",0
"566","6","9","5",0
"567","7","9","5",0
"568","8","9","5",27
"569","9","9","5",654
"570","10","9","5",547
"571","1","10","5",0
"572","2","10","5",0
"573","3","10","5",0
"574","4","10","5",0
"575","5","10","5",0
"576","6","10","5",0
"577","7","10","5",0
"578","8","10","5",1
"579","9","10","5",26
"580","10","10","5",33
"581","1","11","5",0
"582","2","11","5",0
"583","3","11","5",0
"584","4","11","5",0
"585","5","11","5",0
"586","6","11","5",0
"587","7","11","5",0
"588","8","11","5",0
"589","9","11","5",0
"590","10","11","5",0
"591","1","12","5",0
"592","2","12","5",0
"593","3","12","5",0
"594","4","12","5",0
"595","5","12","5",0
"596","6","12","5",0
"597","7","12","5",0
"598","8","12","5",0
"599","9","12","5",0
"600","10","12","5",0
"601","1","1","6",0
"602","2","1","6",0
"603","3","1","6",0
"604","4","1","6",0
"605","5","1","6",0
"606","6","1","6",0
"607","7","1","6",0
"608","8","1","6",0
"609","9","1","6",0
"610","10","1","6",0
"611","1","2","6",0
"612","2","2","6",0
"613","3","2","6",0
"614","4","2","6",0
"615","5","2","6",0
"616","6","2","6",0
"617","7","2","6",0
"618","8","2","6",0
"619","9","2","6",0
"620","10","2","6",0
"621","1","3","6",0
"622","2","3","6",0
"623","3","3","6",0
"624","4","3","6",0
"625","5","3","6",0
"626","6","3","6",0
"627","7","3","6",0
"628","8","3","6",0
"629","9","3","6",0
"630","10","3","6",0
"631","1","4","6",0
"632","2","4","6",0
"633","3","4","6",0
"634","4","4","6",0
"635","5","4","6",0
"636","6","4","6",0
"637","7","4","6",0
"638","8","4","6",0
"639","9","4","6",0
"640","10","4","6",0
"641","1","5","6",0
"642","2","5","6",0
"643","3","5","6",0
"644","4","5","6",0
"645","5","5","6",0
"646","6","5","6",0
"647","7","5","6",0
"648","8","5","6",0
"649","9","5","6",0
"650","10","5","6",0
"651","1","6","6",0
"652","2","6","6",0
"653","3","6","6",0
"654","4","6","6",0
"655","5","6","6",0
"656","6","6","6",3
"657","7","6","6",2
"658","8","6","6",0
"659","9","6","6",0
"660","10","6","6",0
"661","1","7","6",0
"662","2","7","6",0
"663","3","7","6",0
"664","4","7","6",0
"665","5","7","6",0
"666","6","7","6",5
"667","7","7","6",70
"668","8","7","6",6
"669","9","7","6",2
"670","10","7","6",0
"671","1","8","6",0
"672","2","8","6",0
"673","3","8","6",0
"674","4","8","6",0
"675","5","8","6",0
"676","6","8","6",0
"677","7","8","6",20
"678","8","8","6",62
"679","9","8","6",64
"680","10","8","6",1
"681","1","9","6",0
"682","2","9","6",0
"683","3","9","6",0
"684","4","9","6",0
"685","5","9","6",0
"686","6","9","6",0
"687","7","9","6",0
"688","8","9","6",35
"689","9","9","6",240
"690","10","9","6",175
"691","1","10","6",0
"692","2","10","6",0
"693","3","10","6",0
"694","4","10","6",0
"695","5","10","6",0
"696","6","10","6",0
"697","7","10","6",0
"698","8","10","6",0
"699","9","10","6",69
"700","10","10","6",97
"701","1","11","6",0
"702","2","11","6",0
"703","3","11","6",0
"704","4","11","6",0
"705","5","11","6",0
"706","6","11","6",0
"707","7","11","6",0
"708","8","11","6",0
"709","9","11","6",0
"710","10","11","6",0
"711","1","12","6",0
"712","2","12","6",0
"713","3","12","6",0
"714","4","12","6",0
"715","5","12","6",0
"716","6","12","6",0
"717","7","12","6",0
"718","8","12","6",0
"719","9","12","6",0
"720","10","12","6",0
"721","1","1","7",0
"722","2","1","7",0
"723","3","1","7",0
"724","4","1","7",0
"725","5","1","7",0
"726","6","1","7",0
"727","7","1","7",0
"728","8","1","7",0
"729","9","1","7",0
"730","10","1","7",0
"731","1","2","7",0
"732","2","2","7",0
"733","3","2","7",0
"734","4","2","7",0
"735","5","2","7",0
"736","6","2","7",0
"737","7","2","7",0
"738","8","2","7",0
"739","9","2","7",0
"740","10","2","7",0
"741","1","3","7",0
"742","2","3","7",0
"743","3","3","7",0
"744","4","3","7",0
"745","5","3","7",0
"746","6","3","7",0
"747","7","3","7",0
"748","8","3","7",0
"749","9","3","7",0
"750","10","3","7",0
"751","1","4","7",0
"752","2","4","7",0
"753","3","4","7",0
"754","4","4","7",0
"755","5","4","7",0
"756","6","4","7",0
"757","7","4","7",0
"758","8","4","7",0
"759","9","4","7",0
"760","10","4","7",0
"761","1","5","7",0
"762","2","5","7",0
"763","3","5","7",0
"764","4","5","7",0
"765","5","5","7",0
"766","6","5","7",0
"767","7","5","7",0
"768","8","5","7",0
"769","9","5","7",0
"770","10","5","7",0
"771","1","6","7",0
"772","2","6","7",0
"773","3","6","7",0
"774","4","6","7",0
"775","5","6","7",0
"776","6","6","7",0
"777","7","6","7",0
"778","8","6","7",0
"779","9","6","7",0
"780","10","6","7",0
"781","1","7","7",0
"782","2","7","7",0
"783","3","7","7",0
"784","4","7","7",0
"785","5","7","7",0
"786","6","7","7",0
"787","7","7","7",9
"788","8","7","7",0
"789","9","7","7",0
"790","10","7","7",0
"791","1","8","7",0
"792","2","8","7",0
"793","3","8","7",0
"794","4","8","7",0
"795","5","8","7",0
"796","6","8","7",0
"797","7","8","7",30
"798","8","8","7",93
"799","9","8","7",4
"800","10","8","7",0
"801","1","9","7",0
"802","2","9","7",0
"803","3","9","7",0
"804","4","9","7",0
"805","5","9","7",0
"806","6","9","7",0
"807","7","9","7",0
"808","8","9","7",76
"809","9","9","7",62
"810","10","9","7",17
"811","1","10","7",0
"812","2","10","7",0
"813","3","10","7",0
"814","4","10","7",0
"815","5","10","7",0
"816","6","10","7",0
"817","7","10","7",0
"818","8","10","7",5
"819","9","10","7",115
"820","10","10","7",33
"821","1","11","7",0
"822","2","11","7",0
"823","3","11","7",0
"824","4","11","7",0
"825","5","11","7",0
"826","6","11","7",0
"827","7","11","7",0
"828","8","11","7",0
"829","9","11","7",7
"830","10","11","7",2
"831","1","12","7",0
"832","2","12","7",0
"833","3","12","7",0
"834","4","12","7",0
"835","5","12","7",0
"836","6","12","7",0
"837","7","12","7",0
"838","8","12","7",0
"839","9","12","7",0
"840","10","12","7",0
"841","1","1","8",0
"842","2","1","8",0
"843","3","1","8",0
"844","4","1","8",0
"845","5","1","8",0
"846","6","1","8",0
"847","7","1","8",0
"848","8","1","8",0
"849","9","1","8",0
"850","10","1","8",0
"851","1","2","8",0
"852","2","2","8",0
"853","3","2","8",0
"854","4","2","8",0
"855","5","2","8",0
"856","6","2","8",0
"857","7","2","8",0
"858","8","2","8",0
"859","9","2","8",0
"860","10","2","8",0
"861","1","3","8",0
"862","2","3","8",0
"863","3","3","8",0
"864","4","3","8",0
"865","5","3","8",0
"866","6","3","8",0
"867","7","3","8",0
"868","8","3","8",0
"869","9","3","8",0
"870","10","3","8",0
"871","1","4","8",0
"872","2","4","8",0
"873","3","4","8",0
"874","4","4","8",0
"875","5","4","8",0
"876","6","4","8",0
"877","7","4","8",0
"878","8","4","8",0
"879","9","4","8",0
"880","10","4","8",0
"881","1","5","8",0
"882","2","5","8",0
"883","3","5","8",0
"884","4","5","8",0
"885","5","5","8",0
"886","6","5","8",0
"887","7","5","8",0
"888","8","5","8",0
"889","9","5","8",0
"890","10","5","8",0
"891","1","6","8",0
"892","2","6","8",0
"893","3","6","8",0
"894","4","6","8",0
"895","5","6","8",0
"896","6","6","8",0
"897","7","6","8",0
"898","8","6","8",0
"899","9","6","8",0
"900","10","6","8",0
"901","1","7","8",0
"902","2","7","8",0
"903","3","7","8",0
"904","4","7","8",0
"905","5","7","8",0
"906","6","7","8",0
"907","7","7","8",0
"908","8","7","8",0
"909","9","7","8",0
"910","10","7","8",0
"911","1","8","8",0
"912","2","8","8",0
"913","3","8","8",0
"914","4","8","8",0
"915","5","8","8",0
"916","6","8","8",0
"917","7","8","8",1
"918","8","8","8",14
"919","9","8","8",0
"920","10","8","8",0
"921","1","9","8",0
"922","2","9","8",0
"923","3","9","8",0
"924","4","9","8",0
"925","5","9","8",0
"926","6","9","8",0
"927","7","9","8",0
"928","8","9","8",456
"929","9","9","8",136
"930","10","9","8",2
"931","1","10","8",0
"932","2","10","8",0
"933","3","10","8",0
"934","4","10","8",0
"935","5","10","8",0
"936","6","10","8",0
"937","7","10","8",0
"938","8","10","8",45
"939","9","10","8",334
"940","10","10","8",32
"941","1","11","8",0
"942","2","11","8",0
"943","3","11","8",0
"944","4","11","8",0
"945","5","11","8",0
"946","6","11","8",0
"947","7","11","8",0
"948","8","11","8",0
"949","9","11","8",21
"950","10","11","8",18
"951","1","12","8",0
"952","2","12","8",0
"953","3","12","8",0
"954","4","12","8",0
"955","5","12","8",0
"956","6","12","8",0
"957","7","12","8",0
"958","8","12","8",0
"959","9","12","8",0
"960","10","12","8",0
"961","1","1","9",0
"962","2","1","9",0
"963","3","1","9",0
"964","4","1","9",0
"965","5","1","9",0
"966","6","1","9",0
"967","7","1","9",0
"968","8","1","9",0
"969","9","1","9",0
"970","10","1","9",0
"971","1","2","9",0
"972","2","2","9",0
"973","3","2","9",0
"974","4","2","9",0
"975","5","2","9",0
"976","6","2","9",0
"977","7","2","9",0
"978","8","2","9",0
"979","9","2","9",0
"980","10","2","9",0
"981","1","3","9",0
"982","2","3","9",0
"983","3","3","9",0
"984","4","3","9",0
"985","5","3","9",0
"986","6","3","9",0
"987","7","3","9",0
"988","8","3","9",0
"989","9","3","9",0
"990","10","3","9",0
"991","1","4","9",0
"992","2","4","9",0
"993","3","4","9",0
"994","4","4","9",0
"995","5","4","9",0
"996","6","4","9",0
"997","7","4","9",0
"998","8","4","9",0
"999","9","4","9",0
"1000","10","4","9",0
"1001","1","5","9",0
"1002","2","5","9",0
"1003","3","5","9",0
"1004","4","5","9",0
"1005","5","5","9",0
"1006","6","5","9",0
"1007","7","5","9",0
"1008","8","5","9",0
"1009","9","5","9",0
"1010","10","5","9",0
"1011","1","6","9",0
"1012","2","6","9",0
"1013","3","6","9",0
"1014","4","6","9",0
"1015","5","6","9",0
"1016","6","6","9",0
"1017","7","6","9",0
"1018","8","6","9",0
"1019","9","6","9",0
"1020","10","6","9",0
"1021","1","7","9",0
"1022","2","7","9",0
"1023","3","7","9",0
"1024","4","7","9",0
"1025","5","7","9",0
"1026","6","7","9",0
"1027","7","7","9",0
"1028","8","7","9",0
"1029","9","7","9",0
"1030","10","7","9",0
"1031","1","8","9",0
"1032","2","8","9",0
"1033","3","8","9",0
"1034","4","8","9",0
"1035","5","8","9",0
"1036","6","8","9",0
"1037","7","8","9",0
"1038","8","8","9",0
"1039","9","8","9",0
"1040","10","8","9",0
"1041","1","9","9",0
"1042","2","9","9",0
"1043","3","9","9",0
"1044","4","9","9",0
"1045","5","9","9",0
"1046","6","9","9",0
"1047","7","9","9",0
"1048","8","9","9",62
"1049","9","9","9",65
"1050","10","9","9",0
"1051","1","10","9",0
"1052","2","10","9",0
"1053","3","10","9",0
"1054","4","10","9",0
"1055","5","10","9",0
"1056","6","10","9",0
"1057","7","10","9",0
"1058","8","10","9",35
"1059","9","10","9",1735
"1060","10","10","9",25
"1061","1","11","9",0
"1062","2","11","9",0
"1063","3","11","9",0
"1064","4","11","9",0
"1065","5","11","9",0
"1066","6","11","9",0
"1067","7","11","9",0
"1068","8","11","9",1
"1069","9","11","9",85
"1070","10","11","9",92
"1071","1","12","9",0
"1072","2","12","9",0
"1073","3","12","9",0
"1074","4","12","9",0
"1075","5","12","9",0
"1076","6","12","9",0
"1077","7","12","9",0
"1078","8","12","9",0
"1079","9","12","9",1
"1080","10","12","9",2
"1081","1","1","10",0
"1082","2","1","10",0
"1083","3","1","10",0
"1084","4","1","10",0
"1085","5","1","10",0
"1086","6","1","10",0
"1087","7","1","10",0
"1088","8","1","10",0
"1089","9","1","10",0
"1090","10","1","10",0
"1091","1","2","10",0
"1092","2","2","10",0
"1093","3","2","10",0
"1094","4","2","10",0
"1095","5","2","10",0
"1096","6","2","10",0
"1097","7","2","10",0
"1098","8","2","10",0
"1099","9","2","10",0
"1100","10","2","10",0
"1101","1","3","10",0
"1102","2","3","10",0
"1103","3","3","10",0
"1104","4","3","10",0
"1105","5","3","10",0
"1106","6","3","10",0
"1107","7","3","10",0
"1108","8","3","10",0
"1109","9","3","10",0
"1110","10","3","10",0
"1111","1","4","10",0
"1112","2","4","10",0
"1113","3","4","10",0
"1114","4","4","10",0
"1115","5","4","10",0
"1116","6","4","10",0
"1117","7","4","10",0
"1118","8","4","10",0
"1119","9","4","10",0
"1120","10","4","10",0
"1121","1","5","10",0
"1122","2","5","10",0
"1123","3","5","10",0
"1124","4","5","10",0
"1125","5","5","10",0
"1126","6","5","10",0
"1127","7","5","10",0
"1128","8","5","10",0
"1129","9","5","10",0
"1130","10","5","10",0
"1131","1","6","10",0
"1132","2","6","10",0
"1133","3","6","10",0
"1134","4","6","10",0
"1135","5","6","10",0
"1136","6","6","10",0
"1137","7","6","10",0
"1138","8","6","10",0
"1139","9","6","10",0
"1140","10","6","10",0
"1141","1","7","10",0
"1142","2","7","10",0
"1143","3","7","10",0
"1144","4","7","10",0
"1145","5","7","10",0
"1146","6","7","10",0
"1147","7","7","10",0
"1148","8","7","10",0
"1149","9","7","10",0
"1150","10","7","10",0
"1151","1","8","10",0
"1152","2","8","10",0
"1153","3","8","10",0
"1154","4","8","10",0
"1155","5","8","10",0
"1156","6","8","10",0
"1157","7","8","10",0
"1158","8","8","10",0
"1159","9","8","10",0
"1160","10","8","10",0
"1161","1","9","10",0
"1162","2","9","10",0
"1163","3","9","10",0
"1164","4","9","10",0
"1165","5","9","10",0
"1166","6","9","10",0
"1167","7","9","10",0
"1168","8","9","10",0
"1169","9","9","10",0
"1170","10","9","10",0
"1171","1","10","10",0
"1172","2","10","10",0
"1173","3","10","10",0
"1174","4","10","10",0
"1175","5","10","10",0
"1176","6","10","10",0
"1177","7","10","10",0
"1178","8","10","10",2
"1179","9","10","10",1697
"1180","10","10","10",2
"1181","1","11","10",0
"1182","2","11","10",0
"1183","3","11","10",0
"1184","4","11","10",0
"1185","5","11","10",0
"1186","6","11","10",0
"1187","7","11","10",0
"1188","8","11","10",1
"1189","9","11","10",1825
"1190","10","11","10",228
"1191","1","12","10",0
"1192","2","12","10",0
"1193","3","12","10",0
"1194","4","12","10",0
"1195","5","12","10",0
"1196","6","12","10",0
"1197","7","12","10",0
"1198","8","12","10",0
"1199","9","12","10",27
"1200","10","12","10",15
"1201","1","1","11",0
"1202","2","1","11",0
"1203","3","1","11",0
"1204","4","1","11",0
"1205","5","1","11",0
"1206","6","1","11",0
"1207","7","1","11",0
"1208","8","1","11",0
"1209","9","1","11",0
"1210","10","1","11",0
"1211","1","2","11",0
"1212","2","2","11",0
"1213","3","2","11",0
"1214","4","2","11",0
"1215","5","2","11",0
"1216","6","2","11",0
"1217","7","2","11",0
"1218","8","2","11",0
"1219","9","2","11",0
"1220","10","2","11",0
"1221","1","3","11",0
"1222","2","3","11",0
"1223","3","3","11",0
"1224","4","3","11",0
"1225","5","3","11",0
"1226","6","3","11",0
"1227","7","3","11",0
"1228","8","3","11",0
"1229","9","3","11",0
"1230","10","3","11",0
"1231","1","4","11",0
"1232","2","4","11",0
"1233","3","4","11",0
"1234","4","4","11",0
"1235","5","4","11",0
"1236","6","4","11",0
"1237","7","4","11",0
"1238","8","4","11",0
"1239","9","4","11",0
"1240","10","4","11",0
"1241","1","5","11",0
"1242","2","5","11",0
"1243","3","5","11",0
"1244","4","5","11",0
"1245","5","5","11",0
